record,label,xa_max,xa_min,xa_mean,xa_var,xa_std,xa_rms,xa_delta,xa_Q1,xa_media,xa_Q3,ya_max,ya_min,ya_mean,ya_var,ya_std,ya_rms,ya_delta,ya_Q1,ya_media,ya_Q3,za_max,za_min,za_mean,za_var,za_std,za_rms,za_delta,za_Q1,za_media,za_Q3,xw_max,xw_min,xw_mean,xw_var,xw_std,xw_rms,xw_delta,xw_Q1,xw_media,xw_Q3,yw_max,yw_min,yw_mean,yw_var,yw_std,yw_rms,yw_delta,yw_Q1,yw_media,yw_Q3,zw_max,zw_min,zw_mean,zw_var,zw_std,zw_rms,zw_delta,zw_Q1,zw_media,zw_Q3
1,1,-0.651493684,0.777874142,-0.51147845,-0.712169876,-0.795341679,-0.872237759,-0.867577333,-0.371826472,-0.984270197,-0.82695943,-0.828766077,0.697441778,-0.882486874,-0.286951406,-0.391798755,-0.385844511,-0.891402723,-0.425372388,-1.613075358,-0.627746475,0.013155248,0.131837727,-1.697179897,1.462588262,1.667506307,1.633279131,-0.061368664,-3.261835003,-4.52924376,1.341553065,-0.733808599,0.892256989,0.919095821,-0.732786481,-1.060523245,-0.852485868,-0.942003806,1.119194283,0.99754004,0.457098238,-1.043834215,0.509480502,-1.704142629,-0.841643505,-0.99924294,0.02064383,-0.970523254,-1.577338509,-1.735328465,-1.916448863,-0.786829045,0.980170132,0.854146879,-0.803778133,-1.063828646,-1.215688688,-0.992487395,1.292516164,0.80695406,0.072486148
2,1,-0.92660107,0.683938303,-0.801292226,-0.859490155,-1.19312822,-1.162148807,-0.981221473,-0.010146438,-1.116371156,-0.911733917,-0.20505107,0.556459157,0.054082217,-0.201248457,-0.14471441,-0.191134407,-0.448324351,-0.030446878,-0.292268167,-0.317891365,-0.814336731,0.745026118,0.055353936,-0.633902447,-0.894412517,-0.924015377,-0.914032954,0.813875232,0.478668589,-0.399739758,-0.743351267,0.913523262,0.867132741,-0.741725652,-1.113431191,-0.907941925,-0.959771778,1.19710352,0.772785826,0.188677093,-1.033396863,0.632668088,-1.289424219,-0.917850732,-1.327953606,-0.678941711,-1.040910695,-0.929591823,-1.354778993,-1.65985599,-0.597243016,1.052840484,1.743569859,-0.795705457,-1.025235379,-1.042735326,-0.975042552,1.877148783,1.05319596,1.039704392
3,1,-0.869455602,0.709161815,-0.314166781,-0.811509293,-1.042005308,-1.143623616,-0.961031946,0.533797551,0.008933306,-0.60603198,-0.626565786,0.737663894,0.116529501,-0.327850335,-0.532113947,-0.57882831,-0.798744674,0.534022488,-0.242004892,-0.56289308,-0.492837695,-0.27829108,-2.417259488,0.645833722,0.982733128,1.091862253,-0.167307579,-2.364743138,-2.914869339,0.986059903,-0.553256984,0.868080595,1.759848496,-0.593555155,-0.596642292,-0.131233119,-0.821782389,1.565287492,1.827514752,1.414845046,-0.780519966,0.700402928,-0.274771547,-0.665272286,-0.585639375,-1.274657075,-0.925143383,-0.6174483,0.048670795,-0.04475019,-0.820920592,0.998396898,0.666087971,-0.823204509,-1.1809362,-1.302843783,-1.01808827,1.314773751,0.706787863,-0.216886523
4,1,0.192034108,-0.084422066,1.660900328,0.918922214,1.098300568,1.188553676,0.169061205,0.925380265,0.87003585,1.598104677,-0.143355684,-1.093263246,0.267041103,0.405629684,0.974609614,0.93125667,0.566043858,-0.309635863,-0.856333817,1.588592572,-0.611559643,-2.291989155,-4.214399924,2.113660795,2.125774307,2.487047792,0.822516537,-2.839834278,-2.442846368,-0.246316394,0.34570571,0.039255596,0.141709473,0.246600897,0.577025359,0.438661276,0.181341031,-0.356054807,0.536279757,0.603280645,0.23849519,0.72065922,1.255667529,-0.180437729,0.094277362,0.33348274,-0.300869727,1.00648001,1.313233914,0.997956124,-0.293967075,0.739434797,0.590188342,-0.584751315,-0.464067666,-0.596898542,-0.638719556,0.25531261,0.827822017,0.381678866
5,1,-0.418866116,0.299845096,-0.961165164,-0.212878524,0.001755744,-0.019866456,-0.437977505,-1.367158534,-1.321861535,-0.471163478,0.089058445,-0.923345327,-0.966176562,0.507798105,1.116037787,1.098391854,0.599162109,-0.7147137,-0.627356672,0.425349133,0.229229194,-0.074372288,-1.203964293,0.326733212,0.661057444,0.617006277,0.185670581,-0.590978797,-0.666475897,-0.578110012,-0.569089138,0.468946234,-0.146995498,-0.380031171,-0.18742186,-0.349991643,-0.603197993,0.048570582,-0.102727322,-0.17047796,0.183378647,0.852004317,1.567375727,-0.457066629,-0.251183612,0.437877696,-0.417323746,1.492615853,1.492397716,1.266800115,-0.253088069,0.368744988,0.358576453,-0.241694276,0.045264689,-0.070490788,-0.357619686,0.701948189,0.301949484,0.340717437
6,1,-0.358012092,0.817361985,0.198942701,-0.620909606,-0.611009192,-0.716065685,-0.710015768,0.109464282,-0.536594726,-0.324734819,-0.003907206,-2.169410065,0.629445596,0.925902185,1.62849741,1.59218621,1.284904728,1.238593962,2.863148588,0.886528833,-0.555997771,0.292223294,-1.42833301,-0.506480972,-0.554706501,-0.487525268,-0.509525135,-0.49024314,-1.808827347,-1.305311814,-0.671130621,0.67321438,0.674309728,-0.598236105,-0.607920652,-0.640173844,-0.779982916,0.609014444,0.799227498,0.449537079,-0.620297457,0.75741385,1.270196768,-0.868325064,-1.089924577,-0.398523675,-0.860592949,1.495222479,1.374344048,1.159262519,-0.549422293,1.018990776,1.363450682,-0.788082494,-0.991969357,-1.108461312,-0.933186254,1.513608195,1.183968495,0.517776515
7,1,-0.687736385,0.054916095,-1.400078802,0.003520547,0.255854264,0.314297786,-0.457438544,-0.692212329,-0.477883189,-0.187297394,-0.337527124,0.390645535,-0.040477651,-0.204580541,-0.153461713,-0.199480846,-0.426286103,0.055847899,-0.292268167,0.021816896,0.338453386,0.105202267,0.345850951,1.978222608,2.035122467,1.940192206,0.160360425,-2.043478069,-1.836757701,2.868302647,-0.572450759,0.670416186,-0.739578354,-0.591572243,-0.59191096,-0.664499853,-0.720223732,-0.907702465,-0.674161239,-0.70732025,-0.599880532,0.065033625,-1.160892027,0.414415832,0.665652629,0.634284229,-0.415549753,-1.347955377,-1.554081363,0.149906471,-0.780812889,0.763579344,-0.505068675,-0.693990658,-0.69804146,-0.588130828,-0.834804132,0.060929683,-0.269832556,-0.594788733
8,1,-0.686219249,0.347334882,-1.820833711,-0.311569226,-0.126461827,0.090434132,-0.631443125,-1.698935889,-2.17073251,-0.549515655,-0.20505107,0.568977264,0.395266438,-0.13801272,0.011607236,-0.02916055,-0.455751606,-0.175625151,-0.593847822,0.274024544,1.081177894,-1.042127343,-1.241187835,4.547497033,3.4898736,3.371032436,1.241573906,-4.094946114,-4.599069643,2.484120563,-0.770027361,0.268147848,-1.769184671,-0.245119795,0.012061893,0.221617018,-0.606968893,-1.853922708,-1.280850718,-0.874925941,-0.849461423,0.076032517,-1.845250418,-0.067092003,0.217014231,0.905984492,-0.578413703,-1.60796637,-1.57005333,-1.688441933,-0.401486572,0.746615038,0.089685008,-0.589866897,-0.473733392,-0.542040919,-0.683351169,-0.026616826,-0.004113895,0.392249557
9,1,-0.894572637,0.225044336,-2.222105019,-0.569411809,-0.518134098,-0.059613116,-0.686912289,-1.815698734,-2.916858294,-1.331752965,-0.554094835,0.01346059,-0.190830644,-0.140230213,0.006403382,-0.037145006,-0.327296623,0.188843379,0.065159571,-0.23244959,0.306161017,0.419099734,2.0522113,0.589028054,0.928390058,1.105122462,-0.026358808,-0.039655268,1.397577212,2.340675953,-0.71884396,0.525469748,-1.368560946,-0.445881327,-0.297595231,-0.190147666,-0.723738978,-1.60260259,-1.092821049,-0.902650191,-0.687774023,0.27098787,-0.852634121,-0.163406409,0.113279325,-0.16919829,-0.599072131,-1.241735347,-1.064505855,-0.067891192,-0.647994687,0.617449602,-0.090285344,-0.545062248,-0.392157991,-0.433331758,-0.681142244,0.697496671,0.240736809,-0.386017582
10,1,-0.256869671,0.089881102,0.474306803,-0.123539751,0.110636731,0.030385304,-0.21235434,0.068170105,0.256011025,0.619344693,-0.154131248,-0.107616188,-1.927348335,0.416644627,0.990246438,1.050546187,-0.024970821,-2.255836897,-1.976087905,0.232847785,0.594180463,0.07484357,3.05332423,1.811101729,1.920106725,2.198369014,0.339653325,-0.610036894,4.240887179,4.047043133,-0.455227759,0.18789565,-1.279572095,-0.21964251,0.046690367,0.079760616,-0.375601784,-1.434218111,-0.916543234,-0.596423251,-0.359363657,0.424147435,-0.746067678,0.128688452,0.411502801,0.080881145,-0.489427954,-1.442445587,-1.456860695,-0.291133797,-0.193543556,0.762948114,1.911629536,-0.498935525,-0.314441913,-0.378344833,-0.618725952,1.270258577,1.158926946,2.154912313
