record,label,xa_max,xa_min,xa_mean,xa_var,xa_std,xa_rms,xa_delta,xa_Q1,xa_media,xa_Q3,ya_max,ya_min,ya_mean,ya_var,ya_std,ya_rms,ya_delta,ya_Q1,ya_media,ya_Q3,za_max,za_min,za_mean,za_var,za_std,za_rms,za_delta,za_Q1,za_media,za_Q3,xw_max,xw_min,xw_mean,xw_var,xw_std,xw_rms,xw_delta,xw_Q1,xw_media,xw_Q3,yw_max,yw_min,yw_mean,yw_var,yw_std,yw_rms,yw_delta,yw_Q1,yw_media,yw_Q3,zw_max,zw_min,zw_mean,zw_var,zw_std,zw_rms,zw_delta,zw_Q1,zw_media,zw_Q3
1,1,-0.640973946,0.773180616,-0.530810581,-0.71137078,-0.778225574,-0.855833099,-0.85742017,-0.40162322,-1.025642987,-0.832033771,-0.788629376,0.685567441,-0.820142617,-0.281754134,-0.371240847,-0.368544327,-0.856227948,-0.387127745,-1.60433899,-0.594561671,0.031472565,0.112809846,-1.68280117,1.466785652,1.658302357,1.628182904,-0.038953255,-3.224623652,-4.457063586,1.357679282,-0.710218207,0.88119788,0.952916039,-0.720139586,-1.044874295,-0.835379366,-0.924930351,1.173532675,1.056006745,0.492432443,-1.031203666,0.503341911,-1.69532402,-0.829031303,-0.983344826,0.019989914,-0.957992813,-1.568176779,-1.71630772,-1.90050108,-0.780777771,0.964874719,0.904342373,-0.803650802,-1.055189475,-1.211576172,-0.977086552,1.325860114,0.848883661,0.09094309
2,1,-0.921856703,0.67474617,-0.822501059,-0.863575417,-1.179899457,-1.148592469,-0.974960499,-0.029880399,-1.16358111,-0.91788229,-0.170064885,0.545885676,0.098593789,-0.199288399,-0.131937652,-0.179824763,-0.419561196,-0.009581238,-0.273636497,-0.300810969,-0.806977297,0.74607326,0.084699535,-0.633101241,-0.874830658,-0.903984088,-0.913515467,0.814147216,0.494540148,-0.388379985,-0.719956212,0.902888539,0.900312303,-0.729377063,-1.098855089,-0.892130903,-0.943118902,1.254132996,0.823872155,0.218883039,-1.020908172,0.626659134,-1.281901415,-0.903851728,-1.308188385,-0.670700358,-1.027699638,-0.923055186,-1.337570238,-1.645295489,-0.586460853,1.037374515,1.825433138,-0.795403671,-1.016305363,-1.036917356,-0.959585278,1.915322237,1.100786352,1.127173994
3,1,0.220262152,-0.130411141,1.655635529,0.973799647,1.133922168,1.225205233,0.2147586,0.931674852,0.910599553,1.62375416,-0.108878967,-1.088614621,0.307497845,0.384666444,0.952136756,0.908034315,0.580128474,-0.276484296,-0.841928048,1.506585373,-0.601514978,-2.390370102,-4.221518589,2.11891288,2.111421243,2.473562587,0.867631675,-2.806447644,-2.3941255,-0.234536654,0.391393645,0.011174133,0.165945252,0.291930596,0.625879905,0.485929601,0.225004775,-0.35267341,0.579599809,0.641407705,0.233697138,0.714742864,1.255238089,-0.179858002,0.097310788,0.32885106,-0.294814545,1.005170421,1.317738897,0.998147044,-0.27561703,0.724704387,0.630985628,-0.579890688,-0.450908598,-0.586684278,-0.622174344,0.280088478,0.870231347,0.422197232
4,1,-0.403462792,0.272258658,-0.983409261,-0.195525584,0.026661431,0.004912596,-0.413091893,-1.424647756,-1.378151523,-0.471730139,0.121615931,-0.920264547,-0.902238817,0.482975709,1.08911109,1.070027341,0.612767483,-0.663736368,-0.611235438,0.403800348,0.250407823,-0.100151227,-1.185373439,0.329090588,0.663161989,0.621895764,0.214430393,-0.577974205,-0.637728414,-0.567238492,-0.542126956,0.449439605,-0.126319177,-0.355612598,-0.154068489,-0.321146632,-0.578104788,0.065928259,-0.080390693,-0.147133768,0.179329704,0.846226182,1.565972341,-0.451452871,-0.244086021,0.431918628,-0.410142504,1.489336124,1.49604961,1.265537518,-0.233717939,0.354884583,0.391127228,-0.229419987,0.062262168,-0.055085739,-0.340165172,0.730413603,0.33226967,0.378313136
5,1,-0.341331251,0.814559541,0.184210932,-0.617084806,-0.59209171,-0.698126663,-0.694456747,0.093058172,-0.558186015,-0.323446334,0.029417972,-2.154831757,0.663001998,0.885286958,1.585432396,1.548629394,1.288586979,1.203614477,2.905420198,0.841010694,-0.54521734,0.278446237,-1.411658295,-0.50547335,-0.538941591,-0.471782853,-0.498619174,-0.478151545,-1.767235345,-1.296430865,-0.646257217,0.657784093,0.705111965,-0.581099176,-0.583093998,-0.61810763,-0.759074324,0.64573057,0.851182107,0.484726826,-0.613423349,0.751536172,1.26972193,-0.855227317,-1.072959641,-0.393847853,-0.849125487,1.491932186,1.378558055,1.158581328,-0.537446822,1.003604252,1.431779869,-0.787615971,-0.982788643,-1.103291451,-0.917593584,1.548778531,1.234565182,0.568005679
6,1,-0.677977496,0.015599954,-1.425165103,0.02804813,0.283243112,0.342359939,-0.433220136,-0.730922963,-0.496880183,-0.184267675,-0.301446977,0.381602029,0.005834383,-0.202494621,-0.140409487,-0.187914412,-0.397841855,0.07291607,-0.273636497,0.021241295,0.361078393,0.085302374,0.377677433,1.983255292,2.02178797,1.932080306,0.188470228,-2.017309047,-1.794851651,2.888608038,-0.54555739,0.654930059,-0.726208019,-0.574212936,-0.566759667,-0.643001906,-0.697900601,-0.923375686,-0.670589095,-0.694232575,-0.593283917,0.05842732,-1.153770826,0.404170548,0.661964127,0.62582784,-0.408385665,-1.339723257,-1.535923627,0.15468241,-0.774611489,0.748792267,-0.503267868,-0.691490756,-0.686645657,-0.577830108,-0.818893215,0.084099803,-0.252656916,-0.623942984
7,1,-0.67642851,0.322022739,-1.848644629,-0.297488344,-0.102809137,0.116296866,-0.61319031,-1.765655934,-2.264531684,-0.551074983,-0.170064885,0.558288278,0.433281713,-0.138441233,0.019461131,-0.022834269,-0.426880974,-0.148370828,-0.577475544,0.260340703,1.113638269,-1.099589375,-1.222914875,4.55669178,3.46019347,3.348861357,1.297451177,-4.05018403,-4.526104352,2.503374332,-0.747178363,0.24463412,-1.768508406,-0.21619914,0.049460321,0.263815085,-0.581964948,-1.902279589,-1.297200766,-0.865040419,-0.839472665,0.069437786,-1.835990911,-0.068574916,0.218603723,0.894073419,-0.569674791,-1.598680517,-1.551819544,-1.673726881,-0.385819545,0.731867776,0.11266194,-0.585116821,-0.460647167,-0.531285717,-0.666950332,-0.004169906,0.01917028,0.43352216
8,1,-0.25338328,0.432852634,0.378081245,-0.324420651,-0.138640227,-0.227280409,-0.414060632,0.618474207,0.20813689,0.061571265,0.051838839,0.202679245,-1.986777779,-0.140662825,0.014213253,0.153291386,-0.089931197,-0.751086459,-1.806898355,-0.783889365,2.017768709,0.498801792,2.690617013,1.825827462,1.914935719,2.109500701,1.041580327,-0.068069266,0.817650932,0.702281678,-0.491002428,0.53608808,-0.503992557,-0.447555498,-0.308663302,-0.444741518,-0.597536441,-0.897375582,-0.242733184,-0.371880931,-0.579646903,-0.14581683,-0.696742427,0.1292252,0.41611003,0.06120231,-0.273675809,-0.906180778,-1.02034304,-0.282619479,-0.196562141,0.76178083,1.50135959,-0.43320156,-0.209240439,-0.336961355,-0.620526497,0.779784796,0.463202141,1.314035305
9,1,-0.744583885,0.876536785,0.205121485,-0.876213791,-1.224718872,-1.324793098,-0.983248599,0.719459462,-0.019205572,-0.463925729,-0.350269988,0.64917292,-0.613959543,-0.17891872,-0.079358411,-0.102729491,-0.583716216,-0.613267426,-1.843471573,-0.258846583,-0.405916775,0.737495661,0.93412264,-0.303974322,-0.156426045,-0.099935841,-0.649872113,-0.019506891,1.06619769,0.993708475,-0.83504173,0.516566487,-0.636471833,-0.59609214,-0.619822646,-0.718009682,-0.789759324,-0.233072933,-0.344386893,-0.515719115,-0.799013179,0.512609054,-1.272543708,-0.777196951,-0.837114518,-0.504550942,-0.81801244,-1.107375641,-1.306469532,-1.560001312,-0.798644175,0.968338336,0.225219831,-0.825097869,-1.185326732,-1.158040458,-0.986007656,0.812698925,0.145833215,-0.652255304
10,1,0.556219958,0.081952062,1.308367706,1.488413926,1.507489913,1.522271019,0.299469442,-0.161600296,-0.190351021,1.665377684,1.495365525,-0.049845866,-0.715109848,0.546607376,1.173925797,1.145679353,0.885759201,-1.531413943,-0.518395729,-0.560404612,-0.56927616,-0.545299026,-1.124623964,-0.094132769,0.157223478,0.12920263,-0.08123568,-0.042439123,-0.814472775,-0.557232421,0.3267687,0.237327793,1.495044806,0.33512745,0.6675243,0.763155595,0.057185954,1.326933286,1.421656655,1.351608738,0.024987603,0.184405405,0.983924651,0.374218996,0.636503958,0.590241589,-0.098218629,0.726093675,0.936928035,1.453049319,0.545447046,0.531135443,0.030237658,0.233108464,0.54347287,0.455679699,-0.187369955,-0.856945059,-1.059599433,-0.383288266
